이름,설명,영문이름,종류,처음 등장 페이지,페이지: 자세한 설명이 등장하는 부분
TAT (일시적 태도 조정 시술),"첼시가 시리에게 가하는 뇌 시술로 일시적으로는 TMS(경두개 자기 자극)으로, 영구적으로는 의료시설에서 행함. 첼시는 행복감을 느끼게 해주는 시술로 설명한다. 안 좋은 기억을 삭제할 수 있음",Transient Attitudinal Tweak,작품속 고유명사,218,
맹시,"뇌의 시각 영역(V1) 이상으로 생기는 시각 장애. 맹시 환자는 보이지 않는다고 지속적으로 보고하며, 이는 일반적인 시각장애와 동일하다. 하지만 맹시 환자는 편도체로 통하는, 의식은 없지만 빠른 전달 통로(SC)로 시각 정보를 받는다. 이로서 이들은 보이지 않는다고 지속적으로 보고하는 와중에도 물체를 빠르게 받거나,  방향을 판별할 수 있다.",blindsight,과학용어,227,
클뤼버 기본형,환각 상태에서 보인다는 시각적 패턴,Klüver constant,과학용어,236,
로르샤흐 검사,대칭인 얼룩을 보여주고 연상되는 것을 말하게 해 진단하는 정신의학 진단법,,과학용어,240,
TMS(경두개 자기 자극술),"머리의 한 부분에 강한 자기장을 발사해 일시적으로 뇌 부분의 기능을 정지시키는 장비. 비침습적이며, 일반적으로 안전하다고 알려짐",https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.snubh.org/dh/main/index.do%3FDP_CD%3DNP%26MENU_ID%3D008041&ved=2ahUKEwj_7Pb4n774AhWSqFYBHWweDuIQFnoECBUQAQ&usg=AOvVaw1yzTON-4qNzWmxGCYJtwba,과학용어,218,
인지불능증,"뇌의 시각영역 중 v1및 where pathway는 온존하나, what pathway의 손실로  물체의 의미나 종류에 대한 정보를 인출하지 못하는 인지장애. 물체를 잡거나 위치 인식은 가능함. ‘아내를 모자로 착각한 남자’로 유명. 책의 주석엔 “손가락 등 신체 일부가 없다고 착각’이라고 되어 있으나 틀린 설명임",agnosia,과학용어,259,
편측공간무시,"좌우반구 중 한쪽의 시각영억이 파괴된 환자의 증상. 물체의 반쪽에 주의를 집중하지 못해 완전히 무시한다. 시계를 그리라고 하면, 시계의 절반만 그린다.",neglect,과학용어,259,
물질전송,반물질의 정보(specs)를 전송해 연료의 기초(template)로 사용하는 방식,telematter,작품속 고유명사,24,
충전패드,,trickle pad,,84,
부주의 맹시,주의를 기울이지 않은 시각 자극의 어떤 feature (색깔 등)의 변화를 전혀 알아차릴 수 없는 증상. 일반인에게도 일어나는 착시의 일종임. ‘보이지 않는 고릴라’로 유명,inattentional blindness,과학용어,260,
수영선수,빅 벤을 공전하는 우주선들,skimmer,작품속 고유명사,93,
종합가,주인공 시리 키튼의 임무 및 직업. 1. 이해하지 않고 작업한다. 2. 지구에 주기적으로 보고해야 함. 3. 4. … 같이 일하는 사람들은 종합가의 역할이 쥐새끼같이 윗사람에게 보고하는 것이라 싫어함,,작품속 고유명사,,
중국어 방,"철학자 존 설이 튜링 테스트에 반대하며 내놓은 가설. 튜링 테스트는, 인공지능이 사람과 구분할 수 없을 정도로 대화를 잘 하게 된다면, 인공지능에 지능이 있음을 인정해야 한다고 주장한다. 이에 존 설은, 중국어로 된 대화 리스트를 받은, 중국어에 대해 모르는 사람이라도 정해진 절차에 따라 중국어 대화에 대응해 중국어 단어들을 나열한다면 지능 없이도 튜링 테스트에 통과할 수 있을 것이라 지적한다. 작중 ‘종합가’와 비슷한 면이 있음",Chinese room,과학용어,,
십자가 거부증/결함,직각을 보면 발작을 일으키는 흡혈귀의 유전적 결함,Crucifix glitch,작품속 고유명사,139,
시각령,시각 피질,visual cortex,과학용어,139,
전방향 천재성,"전방향(omnidirectional)은 오역. 네커 큐브의 경우처럼, 여러가지를 동시에 생각할 수 있는 천재성을 의미하는 듯",omnisavantism,작품속 고유명사,139,
인지권,"인지권, https://ko.wikipedia.org/wiki/%EC%A0%95%EC%8B%A0%EA%B6%8C: 인간의 생각 권역. 인간의 지적 활동 전체. 작품에서는 ‘(인간의 지적 활동 전체를 담고 있는) 인터넷’의 의미로 사용",noosphere,과학용어,39,
잭,“깜짝쇼 잭” (Jack in the box); 테세우스의 제작공장이 만들어낸 소형 탐사선,Jack,작품속 고유명사,156,
폰 노이만식 기계,"1. 폰 노이만 아키텍쳐의 컴퓨터
2. (이 작품에서의 의미) 자기복제 가능한 기계 (Von Neumann Probe)",von Neumann machine,과학용어,172,
다른 자아,4인방의 수잔을 제외한 다른 자아,alter,작품속 고유명사,200,
회색 영아 증후군,"클로람페니클(항생제)를 과다 복용했을 때 발생. 식용 부진, 구토, 피부의 잿빛 회색, 저혈압 등.",Grey Syndrome,과학용어,210,
로버트 커닝햄,아이작 스핀들의 대체,Robert Cunningham,주인공,269,
공감각,"인간의 오감 중 한 영역의 감관에 자극이 주어졌을 때 그 자극이 다른 영역의 자극을 불러일으키는 일종의 신경이상증. 공감각을 느끼는 사람은 소리를 들을때 색깔을 느끼거나, 글자에서 색깔이나 냄새가 느꺼지거나 한다.",synesthesia,과학용어,239,
단섬유,한 가닥으로 이뤄진 합성섬유,monofilament,과학용어,321,
튜링 발생 요소,"튜링 모르포겐. https://www.dna.caltech.edu/courses/cs191/paperscs191/turing.pdf 에서 인용된 개념. 세포의 증식, 분화를 제어하여 일정한 형태를 이루게 하는 요소.",Turing Morphogen,과학용어,363,
반유클리드 장치; 비유클리드 기관,흡혈귀가 직각을 견딜 수 있게 해주는 장치(?) 또는 약물,antiEuclidean,작품속 고유명사,139,
단속운동,"시점의 변화와 동시에 일어나는 두 눈의 일련의 불수의적인, 급격하고 빠른 운동 또는 경련. 우리가 눈동자를 움직이는 방식은 주로 이 단속운동으로 주로 이루어진다. 우리의 눈동자는 부드럽게 움직이지 않고, 한 점에서 다른 점으로 급격하게 이동한다.",saccade,과학용어,385,
특질,"감각질(感覺質). 어떤 것을 지각하면서 느끼게 되는 기분, 떠오르는 심상 따위로서, 말로 표현하기 어려운 특질을 가리킨다. 일인칭 시점이기에 주관적인 특징이 있으며 객관적인 관찰이 어렵다.",qualia,과학용어,429,
고유수용성 다발신경병증,"고유수용감각(proprioception)을 저자가 오기(proprioreceptive)한 것으로 보임. 
다발성 신경병증 (polyneuropathy, 말초신경이 손상되어 발생하는 신경학적 장애)에 의해 고유수용감각(자신의 힘, 신체의 위치를 아는 감각)을 잃는 증상을 말하는 듯. 작품에서는 무의식적 감각과 행동을 못하게 되어 모든 행동을 의식적으로 하는 상황으로 설명",Proprioreceptive polyneuropathy,과학용어,447,
